"song","lyrics","album","composer","titulo_tratado"
"I Saw Her Standing There","One, two, three, four! Well, she was just seventeen And you know what I mean And the way she looked Was way beyond compare So how could I dance with another? (Oh) When I saw her standin' there Well, she looked at me And I, I could see That before too long I'd fall in love with her She wouldn't dance with another (whoo) When I saw her standing there Well, my heart went boom When I crossed that room And I held her hand in mine Whoah, we danced through the night And we held each other tight And before too long I fell in love with her Now, I'll never dance with another (whoo) Since I saw her standing there Well, my heart went boom When I crossed that room And I held her hand in mine Oh, we danced through the night And we held each other tight And before too long I fell in love with her Now, I'll never dance with another (whoo) Since I saw her standing there Oh, since I saw her standing there Yeah, well, since I saw her standing there","Please Please Me","John Lennon / Paul McCartney","i saw her standing there"
"Misery","The world is treating me bad misery I'm the kind of guy Who never used to cry The world is treatin' me bad misery! I've lost her now for sure I won't see her no more It's gonna be a drag misery! I'll remember all the little things we've done Can't she see she'll always be the only one, only one Send her back to me 'Cause everyone can see Without her I will be in misery I'll remember all the little things we've done She'll remember and she'll miss her only one, lonely one Send her back to me 'Cause everyone can see Without her I will be in misery (oh, oh, oh) In misery (ooh, ee, ooh, ooh) My misery (la, la, la, la, la, la)","Please Please Me","John Lennon / Paul McCartney","misery"
"Anna (go to him)","Anna You come and ask me, girl To set you free, girl You say he loves you more than me So I will set you free Go with him (Anna) Go with him (Anna) Anna Girl, before you go now I want you to know now That I still love you so But if he loves you more Go with him All of my life I've been searchin' for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leaves me sad What am I, what am I supposed to do? Anna Just one more thing, girl You give back your ring to me And I will set you free Go with him All of my life I've been searchin' for a girl To love me like I love you But let me tell you now, but every girl I've ever had Breaks my heart and leaves me sad What am I, what am I supposed to do? Anna Just one more thing, girl You give back your ring to me And I will set you free Go with him (anna) Go with him (anna) You can go with him, girl (anna) Go with him","Please Please Me","Arthur Alexander","anna go to him"
"Chains","Chains My baby's got me locked up in chains And they ain't the kind That you can see Whoa, these chains of love Got a hold on me, yeah Chains Well, I can't break away from these chains Can't run around 'Cause I'm not free Whoa, these chains of love won't let me be, yeah I want to tell you, pretty baby I think you're fine I'd like to love you But darling, I'm imprisoned by these Chains My baby's got me locked up in chains And they ain't the kind That you can see Whoa, it's chains of love got a hold on me, yeah Please believe me when I tell you Your lips are sweet I'd like to kiss them But I can't break away from all of these Chains My baby's got me locked up in chains And they ain't the kind That you can see Whoa, these chains of love got a hold on me, yeah Chains Chains of love Chains of love Chains of love","Please Please Me","Carole King / Gerry Goffin","chains"
"Boys","I been told when a boy kiss a girl Take a trip around the world Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop), yeah, she say you do (bop shuop) My girl says when I kiss her lips Gets a thrill through her fingertips Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop), yeah, she say you do (bop shuop) Well, I'm talkin' 'bout boys (yeah, yeah, boys) Don't ya know I mean boys (yeah, yeah, boys) Well, I'm talkin' 'bout boys, now (yeah, yeah, boys) Aah, boys (yeah, yeah, boys) Well, I'm talkin' 'bout boys, now (yeah, yeah, boys) What a bundle of joy! (yeah, yeah, boys) Alright, George! My girl says when I kiss her lips Gets a thrill through her fingertips Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop), yeah, she say you do (bop shuop) Well, I'm talkin' 'bout boys (yeah, yeah, boys) Don't ya know I mean boys (yeah, yeah, boys) Well, I'm talkin' 'bout boys, now (yeah, yeah, boys) Aah (yeah, yeah, boys) Well, I'm talkin' 'bout boys, now (yeah, yeah, boys) What a bundle of joy! (yeah, yeah, boys) Oh, oh, ah yeah boys (yeah, yeah, boys) Don't ya know I mean boys? (yeah, yeah, boys) Ooh, boys (yeah, yeah, boys) Ah ha (yeah, yeah, boys) Well, I'm talkin' 'bout boys, now (yeah, yeah, boys)","Please Please Me","Wes Farrell / Luther Dixon","boys"
"Ask Me Why","I love you 'Cause you tell me things I want to know And it's true That it really only goes to show That I know that I, I, I, I Should never never never be blue Now you're mine My happiness dear makes me cry And in time You'll understand the reason why If I cry it's not because I'm sad But you're the only love that I've ever had I can't believe It's happened to me I can't conceive of anymore misery Ask me why, I'll say I love you And I'm always thinking of you I love you 'Cause you tell me things I want to know And it's true That it really only goes to show That I know that I, I, I, I Should never never never be blue Ask me why, I'll say I love you And I'm always thinking of you I can't believe, it's happened to me I can't conceive of anymore misery Ask me why, I'll say I love you And I'm always thinking of you, you, you","Please Please Me","John Lennon / Paul McCartney","ask me why"
"Please, Please Me","Last night, I said these words to my girl I know you never even try, girl Come on (come on) Come on (come on) Come on (come on) Come on (come on) Please, please me, whoa, yeah Like I please you You don't need me to show the way, love Why do I always have to say, love? Come on (come on) Come on (come on) Come on (come on) Come on (come on) Please, please me, woah, yeah Like I please you I don't want to sound complaining (ah-ooh) But you know there's always rain in my heart (in my heart) I do all the pleasing, with you it's so hard to reason (ah-ooh) With you, woah, yeah, why do you make me blue? Last night, I said these words to my girl Why do I never even try, girl? (I know you never even try, girl) Come on (come on) Come on (come on) Come on (come on) Come on (come on) Please, please me, woah, yeah Like I please you Me, woah, yeah Like I please you Me, woah, yeah Like I please you","Please Please Me","John Lennon / Paul McCartney","please please me"
"Love Me Do","Love, love me do You know I love you I'll always be true So please, love me do Whoa-oh, love me do Love, love me do You know I love you I'll always be true So please, love me do Whoa-oh, love me do Someone to love Somebody new Someone to love Someone like you Love, love me do You know I love you I'll always be true So please, love me do Whoa-oh, love me do Love, love me do You know I love you I'll always be true So please, love me do Whoa-oh, love me do Yeah, love me do Whoa-oh, love me do","Please Please Me","John Lennon / Paul McCartney","love me do"
"P.S. I Love You","As I write this letter Send my love to you Remember that I'll always Be in love with you Treasure these few words 'til we're together Keep all my love forever PS: I love you You, you, you I'll be coming home again to you, love And 'til the day I do, love PS: I love you You, you, you As I write this letter Send my love to you Remember that I'll always Be in love with you Treasure these few words 'til we're together Keep all my love forever PS: I love you You, you, you As I write this letter (oh) Send my love to you (you know I want you to) Remember that I'll always (yeah) Be in love with you I'll be coming home again to you, love And 'til the day I do, love PS: I love you You, you, you You, you, you I love you","Please Please Me","John Lennon / Paul McCartney","ps i love you"
"Baby It's You","Sha-la-la-la-la-la-la Sha-la-la-la-la-la-la Sha-la-la-la-la-la-la Sha-la-la-la-la It's not the way you smile That touched my heart It's not the way you kiss That tears me apart Uh-ho, many many, many nights go by I sit alone at home and I cry over you What can I do? Can't help myself 'Cause baby it's you Sha-la-la-la-la-la-la Baby it's you Sha-la-la-la-la-la-la Sha-la-la-la-la You should hear what they say about you Cheat! Cheat! Sha-la-la-la-la They say, they say you never, never ever been true Cheat! Cheat! Uh-ho, it doesn't matter what they say I know I'm gonna love you any all way What can I do? Then it's true Don't want nobody, nobody 'Cause baby it's you Sha-la-la-la-la-la-la Baby it's you Sha-la-la-la-la-la-la Uh-oh, it doesn't matter what they say I know I'm gonna love you any all way What can I do? And it's true Don't want nobody, nobody 'Cause baby it's you Sha-la-la-la-la-la-la Baby it's you Sha-la-la-la-la-la-la Don't leave me all alone Sha-la-la-la-la-la-la Come home Sha-la-la-la-la-la-la","Please Please Me","Mack David / Burt Bacharach / Barney Williams","baby its you"
